path,file,count
Source/WebCore/dom,EventTarget.h,52
Source/WebCore/html/parser,HTMLTreeBuilder.cpp,52
Source/WebCore/html/canvas,CanvasRenderingContext2D.idl,52
Source/WebCore/html/parser,HTMLDocumentParser.cpp,51
Source/WebCore/css,CSSValue.cpp,51
Source/core/rendering,RenderLayerScrollableArea.h,51
Source/WebCore/css,CSSSelector.h,51
Source/WebCore/dom,CharacterData.cpp,51
Source/bindings/v8,V8PerContextData.cpp,51
Source/heap,ThreadState.h,51
Source/WebCore/dom,ScriptExecutionContext.cpp,51
Source/bindings/v8,V8ScriptRunner.cpp,51
Source/WebCore/dom,Position.cpp,51
Source/WebCore/platform/graphics,FontCache.h,51
Source/WebCore/svg,SVGPatternElement.cpp,51
Source/WebCore/rendering,FilterEffectRenderer.cpp,51
Source/WebCore/page,History.cpp,51
Source/WebCore/page,Performance.cpp,51
Source/WebCore/Modules/indexeddb,IDBCursor.cpp,51
Source/WebCore/bindings/v8/custom,V8WebGLRenderingContextCustom.cpp,51
Source/WebCore/bindings/js,ScriptController.h,51
Source/WebCore/page/animation,KeyframeAnimation.cpp,51
Source/core/css,FontFace.cpp,50
Source/WebCore/platform,ScrollableArea.h,50
Source/WebCore/workers,Worker.cpp,50
Source/WebCore/html,MediaDocument.cpp,50
Source/WebCore/rendering,RenderFlowThread.cpp,50
Source/WebCore/loader/cache,MemoryCache.h,50
Source/WebCore/platform/graphics,Font.h,50
Source/WebCore/svg,SVGFEImageElement.cpp,50
Source/WebCore/bindings/v8,NPV8Object.cpp,50
Source/modules/notifications,Notification.cpp,50
Source/WebCore/bindings/v8,V8Utilities.cpp,50
Source/WebKit/chromium/tests,ScrollingCoordinatorChromiumTest.cpp,50
Source/WebCore/testing,InternalSettings.h,50
Source/WebCore/platform/image-decoders,ImageDecoder.h,50
Source/WebKit/chromium/src,WebInputEventConversion.cpp,49
Source/WebCore/html/shadow,SpinButtonElement.cpp,49
Source/WebCore/rendering,RenderDeprecatedFlexibleBox.cpp,49
Source/WebCore/page/scrolling,ScrollingCoordinator.h,49
Source/core/css/resolver,SharedStyleFinder.cpp,49
Source/WebCore/workers,WorkerMessagingProxy.cpp,49
Source/WebCore/bindings/v8,DOMWrapperMap.h,49
Source/WTF/wtf/text,WTFString.h,49
Source/WebCore/inspector,InspectorDebuggerAgent.h,49
Source/WebCore/svg,SVGTextContentElement.cpp,49
Source/WebCore/html,ColorInputType.cpp,49
Source/WebCore/dom,StyleElement.cpp,49
Source/WebCore/html,RangeInputType.cpp,49
Source/WebCore/html,MediaController.cpp,49
Source/WebCore/page,ContextMenuController.cpp,49
Source/core/css/resolver,StyleAdjuster.cpp,49
Source/WebCore/css,PropertySetCSSStyleDeclaration.cpp,49
Source/core/css,FilterOperationResolver.cpp,49
Source/bindings/tests/results,V8TestInterfaceEmpty.cpp,49
Source/WebCore/platform/graphics,FontCache.cpp,49
Source/WebCore/rendering/svg,SVGRenderingContext.cpp,49
Source/core/animation,AnimatableValue.h,49
Source/WebCore/loader,DocumentWriter.cpp,49
Source/core/animation,DocumentTimelineTest.cpp,48
Source/WebCore/dom,ElementRareData.h,48
Source/WebCore/platform/graphics/harfbuzz,HarfBuzzShaper.cpp,48
Source/WebCore/html/shadow,DateTimeEditElement.cpp,48
Source/WebCore/html,HTMLImageElement.h,48
Source/WebCore/html,HTMLEmbedElement.cpp,48
Source/WebCore/html,HTMLMediaElement.idl,48
Source/WebCore/platform/graphics,Path.cpp,48
Source/WebCore/inspector,InspectorController.h,48
Source/core/editing,TextCheckingHelper.cpp,48
Source/WebCore/Modules/mediastream,MediaStreamTrack.cpp,48
Source/WebCore/html,HTMLTrackElement.cpp,48
Source/core/css,CSSFontFace.cpp,48
Source/modules/crypto,SubtleCrypto.cpp,48
Source/WebCore/rendering,RenderRegion.cpp,48
Source/WebCore/Modules/indexeddb,IDBDatabase.cpp,48
